STATE,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,"TOTAL
VOTES",TOTAL ELECTORS
Telangana,ADILABAD,NOTA,0,NOTA,,,,,,,,13036,1489790
Telangana,ADILABAD,RATHOD RAMESH,0,INC,MALE,3,52,ST,12th Pass,36491000,15300000,314238,1489790
Telangana,ADILABAD,Godam Nagesh,0,TRS,MALE,0,54,ST,Post Graduate,18477888,847000,318814,1489790
Telangana,ADILABAD,SOYAM BAPU RAO,1,BJP,MALE,52,52,ST,12th Pass,3099414,231450,377374,1489790
Uttar Pradesh,AGRA,Manoj Kumar Soni,0,BSP,MALE,0,47,SC,Post Graduate,133784385,22251891,435329,1937690
Uttar Pradesh,AGRA,Satyapal Singh Baghel,1,BJP,MALE,5,58,SC,Doctorate,74274036,8606522,646875,1937690
Uttar Pradesh,AGRA,Preeta Harit,0,INC,FEMALE,0,54,SC,Post Graduate,55075753,0,45149,1937690
Maharashtra,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,BJP,MALE,0,37,GENERAL,Doctorate,168664576,2623964,704660,1861396
Maharashtra,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,0,NCP,MALE,1,34,GENERAL,Graduate,94488381,32549132,423186,1861396
Maharashtra,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,0,VBA,MALE,0,62,GENERAL,Graduate,13949000,1400000,31807,1861396
Gujarat,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,1,BJP,MALE,0,58,GENERAL,Others,74699690,6252577,749834,1811851
Gujarat,AHMEDABAD EAST,Gitaben Patel,0,INC,FEMALE,6,38,GENERAL,10th Pass,40375418,3121888,315504,1811851
Gujarat,AHMEDABAD WEST,NOTA,0,NOTA,,,,,,,,14719,1643317
Gujarat,AHMEDABAD WEST,RAJU PARMAR,0,INC,MALE,0,68,SC,Graduate,262997727,18943977,320076,1643317
Gujarat,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,1,BJP,MALE,0,69,SC,Post Graduate,89474039,0,641622,1643317
Gujarat,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,0,BSP,MALE,0,66,SC,8th Pass,5354000,0,10028,1643317
